id,text
22450737,Navy Wrap Dress SHORT SLEEVEWrap Dress NAVYMATERNITY nanDRESSES POLYESTERNO CHARACTER M S BRANDnan PLAINnan BELOW THE KNEEnan TIE FASTENINGV NECK nannan WRAP DRESSnan nan 5688I
60101280,Pull On Jean nanPull on Dark Denim Jersey Lined Jean DARK DENIMnan BCI COTTONJEANS COTTONNO CHARACTER M S BRANDnan nannan nannan PULL ONnan D FASHION ESSENTIALSnan JEANSNEWBORN UNISEX NBORN OUTFIT 1864L
60089426,Silk Romper SHORT SLEEVESilk Romper IVORYnan BCI COTTONALL-IN-ONES SILKNO CHARACTER AUTOGRAPHnan PLAINnan nannan BUTTON FASTENINGnan A CHRISTENINGnan ROMPERSNEWBORN UNISEX NBORN OUTFIT 7700Y
60101565,2pc Denim Dunga LONG SLEEVE2pc Core Denim Dungaree and Bodysuit DARK DENIMnan BCI COTTONOUTFITS COTTONNO CHARACTER M S BRANDnan nannan nannan POPPER FASTENINGnan D FASHION ESSENTIALSTWO PIECE SET DUNGAREESNEWBORN BOY nan 7788L
60120847,Cord Dungaree SLEEVELESSSingle Cord Dungaree NAVYnan BCI COTTONOUTFITS COTTONNO CHARACTER M S BRANDnan nannan nannan BUTTON FASTENINGnan D FASHION ESSENTIALSnan DUNGAREESNEWBORN GIRL nan 7845L
60101281,3pc Pinny Set LONG SLEEVE3pc Bodysuit Denim Pinny and Tight DARK DENIMnan BCI COTTONDRESSES COTTONNO CHARACTER M S BRANDnan nannan nannan BUTTON FASTENINGnan D FASHION ESSENTIALSTHREE PIECE SET DRESSESNEWBORN GIRL nan 7777L
60101564,Cord Pinny SLEEVELESSSingle Cord Pinny NAVY MIXnan BCI COTTONDRESSES COTTONNO CHARACTER M S BRANDnan nannan nannan BUTTON FASTENINGnan D FASHION ESSENTIALSnan DRESSESNEWBORN GIRL nan 7779L
60089403,Christening Gown SHORT SLEEVESilk Christening Gown IVORYnan BCI COTTONDRESSES SILKNO CHARACTER AUTOGRAPHnan PLAINnan nannan BUTTON FASTENINGnan A CHRISTENINGnan DRESSESNEWBORN UNISEX NBORN DRESSES 9012Y
60089429,Emb Cotton Dress SHORT SLEEVEEmb Cotton Long Dress WHITEnan BCI COTTONDRESSES COTTONNO CHARACTER AUTOGRAPHnan PATTERNEDnan nannan BUTTON FASTENINGnan A CHRISTENINGnan DRESSESNEWBORN UNISEX NBORN DRESSES 9013Y
60089427,Pointelle Cardi LONG SLEEVEPointelle Cardi IVORYnan BCI COTTONCARDIGANS COTTONNO CHARACTER AUTOGRAPHnan PATTERNEDnan nannan BUTTON THROUGHnan A CHRISTENINGnan CARDIGANSNEWBORN GIRL NBORN TOP 3320Y
60118282,Hooded Lined Cdi LONG SLEEVENavy Hooded Lined Cardi NAVYnan BCI COTTONCARDIGANS COTTONNO CHARACTER M S BRANDnan nannan nannan BUTTON FASTENINGnan D FASHION ESSENTIALSnan CARDIGANSNEWBORN GIRL nan 3355L
60118281,Hooded Lined Cdi LONG SLEEVECream Hooded Lined Cardi CREAMnan BCI COTTONCARDIGANS COTTONNO CHARACTER M S BRANDnan nannan nannan BUTTON FASTENINGnan D FASHION ESSENTIALSnan CARDIGANSNEWBORN GIRL nan 3367L
60101279,Stripe AIO LONG SLEEVERib Stripe All In One NAVY MIXnan BCI COTTONSWEATSHIRTS COTTONNO CHARACTER M S BRANDnan nannan nannan POPPER FASTENINGnan D FASHION ESSENTIALSnan ALL IN ONENEWBORN BOY nan 7789L
60108342,TTT U Outfit LONG SLEEVETiny Tatty Teddy Unisex Outfit WHITE MIXnan BCI COTTONOUTFITS COTTONM AND S DTR 00 CARTE BLANCHE CLOTHING M S BRANDnan MIXEDnan nannan POPPER FASTENINGnan CHAR TATTY TEDDYTWO TOP & BOTTOMNEWBORN UNISEX nan 3415C
60098958,3pc U Dung OF LONG SLEEVE3pc Unisex Quilted Dungaree Outfit WHITE MIXnan BCI COTTONOUTFITS COTTON MIXNO CHARACTER M S BRANDnan PATTERNEDnan nannan POPPER FASTENINGnan M AND S BABY UNISEXTHREE PIECE SET DUNGAREESNEWBORN UNISEX nan 6005C
